a_o,codigo_departamento,departamento,codigo_municipio,municipio,hectareas_con_permisos,hectareas_en_transito_a,hectareas_explotacion_ilicita,total_evidencia_explotacion
2018,5,ANTIOQUIA,5031,AMALFI,268.715581,55.921508,959.929273,1284.566362
2018,5,ANTIOQUIA,5040,ANORÍ,397.950798,52.438321,1237.886069,1688.275188
2018,5,ANTIOQUIA,5120,CÁCERES,1809.804942,379.56547,3050.15314,5239.523552
2018,5,ANTIOQUIA,5134,CAMPAMENTO,0.0,0.0,1.639286,1.639286
2018,5,ANTIOQUIA,5154,CAUCASIA,1034.647431,60.678633,369.128129,1464.454193
2018,5,ANTIOQUIA,5172,CHIGORODÓ,0.0,0.0,82.56503,82.56503
2018,5,ANTIOQUIA,5234,DABEIBA,0.0,0.0,7.8075,7.8075
2018,5,ANTIOQUIA,5250,EL BAGRE,2151.509953,2.061497,2195.021254,4348.592704
2018,5,ANTIOQUIA,5284,FRONTINO,0.0,0.0,14.314907,14.314907
2018,5,ANTIOQUIA,5361,ITUANGO,0.0,0.0,23.377499,23.377499
2018,5,ANTIOQUIA,5480,MUTATÁ,123.187499,0.0,28.134971,151.32247
2018,5,ANTIOQUIA,5495,NECHÍ,3543.065387,15.679573,2689.640718,6248.385678
2018,5,ANTIOQUIA,5579,PUERTO BERRÍO,0.0,0.0,63.267323,63.267323
2018,5,ANTIOQUIA,5585,PUERTO NARE,0.0,0.0,155.027672,155.027672
2018,5,ANTIOQUIA,5604,REMEDIOS,648.015461,179.752137,1312.094389,2139.861987
2018,5,ANTIOQUIA,5736,SEGOVIA,501.657808,32.242029,1462.958929,1996.858766
2018,5,ANTIOQUIA,5756,SONSÓN,11.260776,23.546906,203.579819,238.387501
2018,5,ANTIOQUIA,5790,TARAZÁ,142.190818,584.732018,1171.752179,1898.675015
2018,5,ANTIOQUIA,5847,URRAO,0.0,0.0,18.422595,18.422595
2018,5,ANTIOQUIA,5854,VALDIVIA,0.0,65.569309,455.631976,521.201285
2018,5,ANTIOQUIA,5858,VEGACHÍ,191.467986,0.0,173.63182,365.099806
2018,5,ANTIOQUIA,5873,VIGIA DEL FUERTE,0.0,0.0,56.475004,56.475004
2018,5,ANTIOQUIA,5885,YALI,0.0,0.0,61.651294,61.651294
2018,5,ANTIOQUIA,5893,YONDÓ (Casabe),0.0,24.331395,123.747271,148.078666
2018,5,ANTIOQUIA,5895,ZARAGOZA,5363.072597,156.53606,2709.584608,8229.19326499999
2018,13,BOYACA,13030,ALTOS DEL ROSARIO,3.194999,0.0,1.845,5.039999
2018,13,BOYACA,13042,ARENAL,2.992395,0.0,22.950105,25.9425
2018,13,BOYACA,13074,BARRANCO DE LOBA,104.248709,4.286714,67.364937,175.90036
2018,13,BOYACA,13458,MONTECRISTO,914.866101,613.299357,1542.300734,3070.466192
2018,13,BOYACA,13490,NOROSI,199.446201,66.050458,290.86838,556.365039
2018,13,BOYACA,13600,RIOVIEJO,122.400027,112.861104,369.707278,604.968409
2018,13,BOYACA,13655,SAN JACINTO DEL CAUCA,0.0,0.0,11.474999,11.474999
2018,13,BOYACA,13667,SAN MARTÍN DE LOBA,116.888493,58.841503,274.814654,450.54465
2018,13,BOYACA,13670,SAN PABLO,0.0,0.0,35.996811,35.996811
2018,13,BOYACA,13688,SANTA ROSA DEL SUR,779.452412,239.999772,1308.650298,2328.102482
2018,13,BOYACA,13744,SIMITÍ,1074.245835,27.68607,413.578094,1515.509999
2018,13,BOYACA,13810,TIQUISO,41.307581,1.8225,89.218985,132.349066
2018,17,CALDAS,17380,LA DORADA,0.0,0.0,2.031163,2.031163
2018,17,CALDAS,17495,NORCASIA,0.0,0.0,68.011337,68.011337
2018,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,0.0,0.0,50.220005,50.220005
2018,19,CAUCA,19100,BOLÍVAR,0.0,29.298052,31.743558,61.04161
2018,19,CAUCA,19110,BUENOS AIRES,0.0,0.0,44.674707,44.674707
2018,19,CAUCA,19256,EL TAMBO,0.0,44.136615,76.752913,120.889528
2018,19,CAUCA,19318,GUAPI,0.0,7.981758,452.989703,460.971461
2018,19,CAUCA,19355,INZA,0.0,0.0,9.202499,9.202499
2018,19,CAUCA,19392,LA SIERRA,0.0,69.145356,12.759655,81.905011
2018,19,CAUCA,19418,LÓPEZ,0.0,3.4425,581.98853,585.43103
2018,19,CAUCA,19450,MERCADERES,0.0,12.444879,116.256018,128.700897
2018,19,CAUCA,19473,MORALES,0.0,0.0,5.13,5.13
2018,19,CAUCA,19532,PATÍA,0.0,9.075917,46.651014,55.726931
2018,19,CAUCA,19533,PIAMONTE,0.0,0.0,63.1125,63.1125
